subjNo	 ER	 RT	 isLeft	 cohVec	 cohFac	 blocknum	 isDots
1	0	0.37385	0	2.5	0	11	0
1	0	0.3822	1	2.5	0	11	0
1	1	0.32353	1	2.5	0	11	0
1	0	0.42173	1	2.5	0	11	0
1	0	0.37258	0	2.5	0	11	0
1	0	0.38774	0	2.5	0	11	0
1	0	0.34164	0	2.5	0	11	0
1	0	0.39806	0	2.5	0	11	0
1	0	0.33296	0	2.5	0	11	0
1	0	0.38744	0	2.5	0	11	0
1	0	0.50745	1	2.5	0	11	0
1	0	0.42859	1	2.5	0	11	0
1	0	0.35319	0	2.5	0	11	0
1	0	0.32691	1	2.5	0	11	0
1	0	0.33944	0	2.5	0	11	0
1	0	0.39542	1	2.5	0	11	0
1	0	0.42914	0	2.5	0	11	0
1	0	0.33915	1	2.5	0	11	0
1	0	0.37342	0	2.5	0	11	0
1	0	0.37869	1	2.5	0	11	0
1	0	0.86071	0	6	1	12	1
1	0	1.4531	1	6	1	12	1
1	1	0.82952	1	6	1	12	1
1	0	1.6533	1	6	1	12	1
